sale_id,product_id,sale_date,quantity_sold,total_sale_amount,customer_region,discount_applied,shipping_cost
0,209,2021-03-18,3,5517.02,Asia,0.1,8.5
1,127,2022-12-26,6,16590.93,North America,0.05,44.84
2,117,2021-07-11,6,7826.08,Europe,0.13,16.93
3,130,2021-01-24,2,2418.17,North America,0.11,40.42
4,219,2021-03-08,1,497.12,Europe,0.12,37.97
5,168,2023-06-27,7,1728.36,South America,0.15,22.04
6,188,2021-05-20,2,2023.35,Europe,0.25,40.49
7,216,2021-06-12,3,7344.43,North America,0.14,40.96
8,154,2022-07-24,5,1916.44,North America,0.01,16.75
9,218,2023-07-20,2,2688.68,Europe,0.1,44.96
10,37,2021-11-06,2,4672.1,North America,0.16,45.42
11,179,2022-04-19,6,4391.0,South America,0.18,32.61
12,201,2021-11-06,1,1485.54,South America,0.13,34.41
13,54,2022-09-30,3,1552.2,Europe,0.02,19.9
14,226,2021-04-10,7,1318.74,Asia,0.21,37.49
15,229,2021-12-18,5,1584.67,South America,0.09,9.32
16,19,2022-11-06,10,15070.61,North America,0.16,27.09
17,132,2023-11-06,6,8093.94,South America,0.0,8.94
18,191,2023-07-06,4,622.66,Asia,0.03,14.31
19,17,2023-01-22,2,4947.1,South America,0.14,10.2
20,150,2022-02-19,8,19279.29,North America,0.15,34.75
21,228,2021-06-30,9,827.96,South America,0.12,21.7
22,233,2023-01-15,6,10896.65,South America,0.06,7.01
23,146,2021-01-27,8,10732.06,North America,0.08,42.67
24,96,2021-04-11,3,5528.18,North America,0.23,35.04
25,32,2021-05-28,6,1935.4,Europe,0.24,23.63
26,65,2021-02-04,9,22380.49,South America,0.02,22.42
27,229,2022-09-22,9,2476.27,Europe,0.21,47.14
28,158,2023-05-13,8,14275.64,North America,0.09,22.77
29,150,2023-01-03,9,21178.87,Europe,0.17,28.26
30,30,2021-01-27,2,529.44,Europe,0.28,25.21
31,152,2021-01-10,4,8646.25,South America,0.24,10.68
32,96,2022-08-03,2,3350.41,Europe,0.3,24.59
33,241,2023-04-22,10,12763.44,North America,0.08,45.99
34,74,2021-02-24,2,307.07,Asia,0.12,22.88
35,142,2022-01-20,5,900.19,North America,0.16,46.27
36,184,2022-09-03,10,12369.04,North America,0.18,40.18
37,209,2023-06-23,7,13731.24,North America,0.04,30.5
38,197,2022-01-25,2,2544.68,Asia,0.17,9.54
39,194,2023-02-27,9,2868.33,Asia,0.26,44.51
40,21,2022-06-08,7,15018.25,South America,0.2,30.74
41,80,2023-07-29,1,2108.98,South America,0.05,23.13
